Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
4,0.9913030045230842,0.9913737983864394,0.9918567429025505,0.9914881707561054,0.9924242424242424,0.9952651515151516,0.9919660728773606,0.9915840763874912
23,0.992677591296117,0.9930097502994166,0.9921273335185194,0.9929104780886773,0.9947257383966244,0.9954867827208251,0.9922808560175606,0.9930602363391983
6,0.9920809914757713,0.9922718587586632,0.9918918638311827,0.9920219628929721,0.9913131313131314,0.9938781756963575,0.9920510025714036,0.9921931981266624
18,0.9925954963629722,0.9924793433444841,0.9917782078120401,0.9922442214261609,0.9946524064171123,0.9959595959595959,0.991932653702218,0.9924010991517918
7,0.9929100129933257,0.9930541491003491,0.9919291042900109,0.9917711752709403,0.9923204649232046,0.9945572227125625,0.991993296089736,0.991822773722237

mean,0.9923134193302541,0.9924377799778705,0.9919166504708608,0.9920872016869712,0.9930871966948629,0.9950293857208985,0.9920447762516558,0.9922122767454761
stderr,1.4696095812342342e-07,1.6711255239167638e-07,6.074243618195329e-09,1.0423708901820777e-07
