Using 30-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
0,0.9802067888027545,0.9806462288422229,0.9702026414119568,0.9742149548800145,0.8,0.7666666666666666,0.9702958096343673,0.9742780487595306
21,0.9792589238623134,0.9862579699615601,0.9632421931318483,0.9693780350692879,0.7875000000000001,0.8369230769230769,0.9649693383584147,0.9716835469724452
0,0.9802515698235628,0.9838995339570155,0.968286451950572,0.9720108549529134,0.68,0.8,0.968374076047438,0.9720677079007896
3,0.9811670929156425,0.9860300689975694,0.967597864628388,0.974046685740458,0.75,0.8311111111111111,0.9679399849778905,0.9742281822105778
6,0.9752584860034431,0.9827898555910236,0.9615627290284987,0.9732564166395921,0.65,0.7560606060606061,0.9615740911767301,0.9732843280775028

mean,0.9792285722815433,0.9839247314698782,0.9661783760302527,0.9725813894564531,0.7335,0.7981522921522922,0.9666306600389681,0.9731083627841691
stderr,1.925147202390313e-06,1.960012471863818e-06,4.7028097191321425e-06,1.4184076691784845e-06
