Using 30-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
1,0.991358024691358,0.9951388888888887,0.9967174480262605,0.9970295587732195,1.0,1.0,0.9965062111801243,0.996959232834913
1,0.9901234567901235,0.9947712418300652,0.9991162360070701,0.9990032608293613,1.0,1.0,0.9993915379972351,0.9992424757887095
9,0.9943209876543211,0.9954157017549363,0.9963527200291781,0.9977214656095929,1.0,1.0,0.9964082313019667,0.9977728562524484
0,0.9980246913580246,0.9983228511530396,0.9970026840239785,0.9974709814350894,1.0,1.0,0.996860121088622,0.9974085436241711
1,0.9892592592592593,0.994538606403013,0.994510376043917,0.9969465791852239,1.0,1.0,0.9944578698248487,0.9969533768378016

mean,0.9926172839506172,0.9956374580059885,0.9967398928260808,0.9976343691664974,1.0,1.0,0.9967247942785594,0.9976672970676088
stderr,4.58160479120939e-06,8.467442633845208e-07,9.69310223322884e-07,2.456988270152224e-07
