Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
31,0.9974712992464472,0.9981366606898141,0.9890516076347555,0.99156063298462,0.9210758377425042,0.927518166919046,0.9914701869787279,0.9938657154404743
7,0.9974176994356027,0.9978661198857317,0.9863659863476126,0.9903212255287228,0.9054275473630312,0.9133038030219669,0.9885523170677339,0.9925696973033957
37,0.9978573043358356,0.9982127754919979,0.9869793086394194,0.991591200900634,0.9367799040696237,0.9421003427430202,0.9881490356876457,0.9930776828224609
12,0.9967178760988501,0.9977324327568805,0.9874890591124224,0.9907074036308756,0.905543710021322,0.9127281864633064,0.9908876482660266,0.9938672984558659
12,0.9969089334891187,0.9980199083994797,0.9858563221365355,0.989083315507416,0.9051701366376101,0.9127989577965865,0.988634117160763,0.9919147538342289

mean,0.9972746225211708,0.9979935794447808,0.987148456774149,0.9906527557104537,0.9147994271668182,0.9216898913887853,0.9895386610321794,0.9930590295712852
stderr,7.53434949434653e-08,1.3743401094409273e-08,5.409921517175561e-07,3.829008572648919e-07
