Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
37,0.9924995621960391,0.9923828469832685,0.9870518170197223,0.9869716428159397,0.9387458471760798,0.9579512539534564,0.9875388503334033,0.9875398565851828
8,0.9912702557607628,0.9910556895818126,0.986851851090956,0.9869181407176061,0.938903845808974,0.9581781786078267,0.9873541405137828,0.9874904805856417
35,0.9922529608351683,0.991814971979954,0.9869441219090713,0.9865838339656805,0.9349602120691721,0.9528708949204595,0.9879916938681267,0.9878542462871591
11,0.9914335079259826,0.9910873711711843,0.9852231912374086,0.9848086039816454,0.9622128607769256,0.9697648231689353,0.9861565126991612,0.9858857801383349
5,0.9906903735112013,0.9902663477246249,0.9860679563854395,0.9856568882152084,0.9253744239631336,0.9523179795928766,0.9874193763161322,0.9870569780673111

mean,0.9916293320458308,0.9913214454881688,0.9864277875285195,0.9861878219392161,0.940039437958857,0.9582166260487108,0.9872921147461213,0.9871654683327259
stderr,1.9633923453819076e-07,2.333372541814359e-07,2.1612711275505006e-07,3.120387250155415e-07
