Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
7,0.990021381257906,0.9893578119981754,0.9858630230253299,0.9818532189617816,0.9516090684811103,0.9980936151285058,0.9856272959142367,0.9810431972756785
0,0.9033471638281749,0.9470722597507569,0.9288362442923415,0.95722123642788,0.9651335651362678,0.9983734884247075,0.9268434632781729,0.9553504931034313
9,0.989831834587735,0.9890402280811653,0.9852604835942586,0.9812822974380317,0.9625119071315456,0.9983280690109179,0.985058795023706,0.9804823678045947
0,0.9869515296446727,0.9868067516721917,0.9841075197754543,0.9806057759365062,0.9645849810906464,0.998407291889424,0.9837954221194586,0.9796870387710528
4,0.9864389278727335,0.986036430040016,0.983431733428183,0.9798568067221003,0.9384122242978089,0.9974736670867912,0.9832914521860253,0.9791492583012642

mean,0.9713181674382444,0.9796626963084611,0.9734998008231134,0.97616386709726,0.9564503492274758,0.9981352263080693,0.9729232857043199,0.9751424710512044
stderr,0.0005174854144398497,0.00011947149617706068,0.00022335306584713008,4.031708089492853e-05
