Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
0,0.943726184149517,0.9433506487245218,0.9100047899918742,0.9119016723350467,0.9166496925772784,0.9472591602598902,0.9080623920683175,0.9063194895470157
0,0.9442214322337127,0.9438278268274336,0.910946035016984,0.9132265961959112,0.9173337695182405,0.9466992899609028,0.9088949611054264,0.9075968843413881
0,0.9442134678967234,0.9439767858102921,0.9107962714117099,0.9129577611766457,0.9181788063756523,0.9484508644424817,0.9087237475823701,0.9072720148545803
0,0.9444141993192849,0.9441753743637298,0.9108772175901316,0.9132592653924418,0.9206185219484984,0.9503802253128008,0.9086729742085147,0.9072850616340113
0,0.9442443260750717,0.9440785861099437,0.9107038539916532,0.9131241049414209,0.920447433293898,0.9492427965927326,0.9083961338603205,0.9070930320417702

mean,0.944163921934862,0.9438818443671841,0.9106656336004706,0.9128938800082933,0.9186456447427135,0.9484064673137617,0.9085500417649899,0.9071132964837532
stderr,2.383471371418639e-08,3.747361524207209e-08,5.1754602806028666e-08,1.1500249042009129e-07
