Using 90-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
7,0.8333333333333334,0.9166666666666666,0.6686390532544378,0.8127248949489752
0,0.9722222222222223,0.976190476190476,0.8254437869822484,0.7965545138622061
7,0.8055555555555556,0.8888888888888888,0.9053254437869822,0.9441391941391941
7,0.9722222222222223,0.976190476190476,0.846153846153846,0.9166666666666667
5,0.9722222222222222,0.976190476190476,0.863905325443787,0.9163752913752912

mean,0.9111111111111112,0.9468253968253968,0.8218934911242602,0.8772921121984668
stderr,0.002539731529999762,0.0006129609371427981,0.00293497133645573,0.0016308867449517817
