Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
9,0.9994768133174792,0.9994846813685709,0.9371630710105685,0.9591998486087517
21,1.0,1.0,0.8544833609922264,0.9068830400772896
22,0.9998097502972652,0.9998126426069351,0.9026011005327976,0.9375866728636187
2,0.9991914387633769,0.9992296062467627,0.9895659009520483,0.9833971087054649
4,0.9994768133174792,0.9994617002748897,0.9464948903834396,0.9524784676143202

mean,0.99959096313912,0.9995977260994318,0.9260616647742161,0.9479090275738888
stderr,3.58539247049353e-08,3.3523825044151913e-08,0.0009165551040216825,0.0002859885310585805
