Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
8,0.8596790913756975,0.8732548644695499,0.9023083862007687,0.9200355324928683
2,0.8688198652259205,0.8756177835445007,0.9329957649011427,0.9306342779259035
4,0.8558922113974793,0.872270706330811,0.9356682213416324,0.9398755014661855
3,0.8059439980524047,0.8367999595235708,0.8907836636069194,0.9143331944616601
1,0.8435946438678652,0.8668938570628065,0.9152952296971181,0.9191809333956459

mean,0.8467859619838733,0.8649674341862479,0.9154102531495163,0.9248118879484526
stderr,0.00021581633558134434,9.23555965679905e-05,0.0001339652080658936,3.8025401673209934e-05
