Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
47,0.9713287993134395,0.9756604881252633,0.8557175842060297,0.9108118592282564
11,0.9676651480056038,0.9691046397064291,0.9453988693226003,0.9543625916396212
1,0.9697093136317343,0.9704659811812786,0.9601330509642486,0.9650367382684919
44,0.970307302104269,0.9741382797734068,0.8589477610836256,0.912753019261741
5,0.9612780116633558,0.9632571545003121,0.9513314798726947,0.9570332892844636

mean,0.9680577149436804,0.9705253086573379,0.9143057490898399,0.9399994995365148
stderr,5.77861671413965e-06,8.431900485113277e-06,0.0009780479371362268,0.0002430696018846614
