Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
3,0.9723387978893062,0.9721403822391732,0.9739554810364733,0.9731738011641152,0.9772727272727273,0.9750933997509339,0.9739329694221982,0.9731342130696057
11,0.9734315877855843,0.9725308093208964,0.9652280111596967,0.9649593351128518,0.8484848484848486,0.8968140376613629,0.9653933952433666,0.9650819231133271
10,0.9732289672941371,0.9721852264179224,0.9732134754739962,0.9736220949377189,0.9769283746556474,0.9772727272727273,0.9732028348975128,0.9735862140248137
8,0.9726347718892566,0.9714668585080447,0.9520002199052382,0.9518368002027267,0.9696969696969697,0.9673659673659674,0.951957229741164,0.9517987612716894
0,0.971763939403164,0.9711464678585514,0.9684669537416845,0.9706160613023644,0.9723011363636364,0.9674243781755065,0.9684843220045122,0.9705845043656114

mean,0.9726796128522895,0.9718939488689177,0.9665728282634177,0.9668416185439554,0.9489368112947659,0.9567941020452995,0.9665941502617507,0.9668371231690095
stderr,1.6313278825388225e-07,1.1558658341666182e-07,2.829600166515173e-05,2.942713572903955e-05
