Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
14,0.9570238700991458,0.9617749483556138,0.9087090032675165,0.9152462745862628,0.922678045727675,0.9586395383725527,0.9049838865569267,0.9113014278438473
15,0.9577283216916026,0.9602413773824812,0.9065958529321984,0.9103276794320839,0.909459636015729,0.9426515301657494,0.9060911467999113,0.911066843215205
6,0.9558454437118876,0.956513564644846,0.8940034692365088,0.8992870064085258,0.9229079212718083,0.9580271542578673,0.888532895261271,0.8912586123724631
19,0.9590428363677219,0.9581851408103865,0.8804937671370462,0.8920992878962353,0.918515035436481,0.9549546561099231,0.875598352939153,0.8864031742030407
3,0.9577486615853719,0.9596560702001465,0.8718537740382866,0.8879792459739339,0.923533873080221,0.961654173733022,0.863634867495343,0.8775534972498009

mean,0.957477826691146,0.9592742202786948,0.8923311733223113,0.9009878988594083,0.9194189023063828,0.9551854105278229,0.887768229810521,0.8955167109768715
stderr,4.88008898321049e-07,1.4437983925380287e-06,9.248010782747813e-05,4.8447388437483796e-05
