Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
14,0.9751445684548671,0.981355966683517,0.9647679028152331,0.9760596562764292,0.9385679102841392,0.9975586024110852,0.9648098203513533,0.9755708866918894
5,0.9643347973187746,0.9739426218794853,0.9558330798585268,0.9715959558170697,0.9286445282984201,0.9973079436138763,0.9563443982094548,0.9712073725842634
27,0.9757542447368716,0.9822300975008726,0.9674418263535244,0.9771389220569949,0.9115638021359301,0.9972707187720867,0.9677655353189429,0.9771621133904654
31,0.9790332551436893,0.984587347636871,0.9678353422739637,0.977444570371733,0.9256542607791882,0.9972793438445545,0.9680470374121686,0.977330295857203
16,0.9670477430868826,0.978878178826094,0.965444506681761,0.9774150598405968,0.9347381055312595,0.997773959249921,0.9657593676951878,0.9771814790802982

mean,0.972262921748217,0.9801988425053679,0.9642645315966017,0.9759308328725649,0.9278337214057875,0.9974381135783048,0.9645452317974215,0.9756904295208239
stderr,1.398739977951115e-05,5.868190076804304e-06,8.54902391381066e-06,2.2147416976013816e-06
