Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
9,0.9999524375743163,0.9999527633443552,0.9434815267708969,0.9540944844637318
7,0.9992865636147443,0.9992607001502315,0.8755192593239585,0.9187447931678389
2,0.9998573127229489,0.9998602050326189,0.8735190846362129,0.9201171411501607
16,0.9991914387633769,0.9991558081132521,0.8480653332168749,0.9087981952012948
4,0.9999048751486326,0.9999052009186715,0.812774914839724,0.8924221191437806

mean,0.9996385255648038,0.9996269355118258,0.8706720237575334,0.9188353466253613
stderr,4.8398751633298674e-08,5.3137870062614867e-08,0.0008225119225454285,0.00018275481903959692
