Using 90-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
0,1.0,1.0,0.6390532544378699,0.5775284095122152
25,0.7777777777777778,0.8617424242424241,0.8994082840236688,0.9345257306795769
30,0.7777777777777779,0.869047619047619,0.8875739644970414,0.9258946182023104
15,0.8333333333333334,0.8819444444444444,0.9230769230769231,0.9615384615384615
14,0.7777777777777778,0.8592592592592592,0.911242603550296,0.943756499910346

mean,0.8333333333333334,0.8943987493987493,0.8520710059171599,0.8686487439685819
stderr,0.003312693299999687,0.001274615363566538,0.0051358866749758834,0.009537956120720925
