Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
2,0.8511954622748475,0.8574111699678194,0.9104150723069456,0.9104430317664112
192,0.892921126073063,0.9270337647232151,0.9302307008885864,0.9552600904568618
23,0.8966771916118498,0.9306838346127022,0.9259324831244411,0.9532049095144285
78,0.9047071892386779,0.9350316636639899,0.9273549058945578,0.9530170587212754
33,0.9104782278355263,0.9382459401209432,0.931681312061641,0.9561720913205145

mean,0.8911958394067929,0.9176812746177341,0.9251228948552344,0.9456194363558982
stderr,0.000195648710735216,0.000412595919787799,2.603318612972841e-05,0.00013898901227296073
