Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
23,0.9999208892053321,0.999921871948123,0.9988027040468603,0.9988758696536373
22,0.9998813338079982,0.9998835313300722,0.9980152517084493,0.9974668477725548
28,0.9997231122186623,0.9997288916542252,0.9962193077787398,0.9955223268985617
24,0.9999208892053321,0.999921871948123,0.9976284330158964,0.9975589634371732
22,0.9998417784106641,0.9998456611490527,0.9936128865884434,0.9925087786262696

mean,0.9998576005695977,0.9998603656059192,0.9968557166276778,0.9963865572776394
stderr,2.407049065828966e-09,2.2901210805336554e-09,1.4895195749464415e-06,2.193341304960919e-06
