Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
6,0.9804989126777868,0.9797200934277767,0.9750808953930518,0.9776519181065608
5,0.9756966989941313,0.9760290441781353,0.9726303195549832,0.9743089181367429
5,0.9762900181004748,0.9762237760727042,0.9700288241128793,0.9731545539332034
4,0.9812969888533368,0.980295425827884,0.9748154479115062,0.9762608398665502
4,0.9738035302896488,0.9721822540763927,0.969392156950178,0.9717563691744124

mean,0.9775172297830756,0.9768901187165786,0.9723895287845197,0.974626519843494
stderr,3.737717880602638e-06,3.84195160171022e-06,2.4814703995154595e-06,1.9971983106985435e-06
