Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
4,0.9611877002085264,0.9636729519554448,0.9572424199422597,0.9595363088816682
79,0.9749190801204056,0.9785149060212669,0.8726713178897988,0.9251954402459268
7,0.9747930317156419,0.9790495876891603,0.8774937971460827,0.9286031545862925
19,0.972638931237076,0.9777579447288292,0.8802965103133897,0.9304657024544928
68,0.9769456474049784,0.981228676653805,0.8742298288537983,0.9275635219325358

mean,0.9720968781373257,0.9760448134097011,0.8923867748290659,0.9342728256201832
stderr,1.4136297983567549e-05,1.7709679747309197e-05,0.0004733848850842254,7.26540187788658e-05
