Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP
4,0.9699916655276839,0.9717367021359683,0.9589627535962048,0.9621787872336672
6,0.97445451958668,0.9763563863212846,0.9624920373739972,0.9650562362179156
4,0.9720127141969773,0.972659424225695,0.9531022473965797,0.9590808575059561
3,0.9681675157234904,0.9707838941452398,0.9436792603556425,0.9524703854766204
2,0.9718618087174162,0.97245100487686,0.9603995873321324,0.960839328374539

mean,0.9712976447504496,0.9727974823410095,0.9557271772109113,0.9599251189617396
stderr,1.9944611439985603e-06,1.6086001377154346e-06,2.058132966520897e-05,7.918273814361995e-06
