Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
6,0.6135151326372839,0.7924217025499746,0.6754129712736763,0.8119487524527288,0.7390810186021813,0.99061996231566,0.6734570867110478,0.8080752170326795
0,0.4229834536141864,0.6943466821344445,0.5158702110142166,0.7257391151506044,0.48024473129417794,0.9805608627622605,0.5171375892941693,0.7224029473064133
1,0.6617618621876612,0.819772242156192,0.7245501740372289,0.8437133579988166,0.90152475705028,0.9937863621759482,0.7214088820313883,0.839640376603997
0,0.43063811756776665,0.6980722833483638,0.4918333797979711,0.711238507536937,0.45679421606612586,0.9811094008422439,0.4931567628372201,0.7077993354616463
6,0.5927583144019127,0.779896962026745,0.5905452904797256,0.7701280734417301,0.575865352556511,0.9857950142952089,0.5897842456864112,0.7659697190843412

mean,0.5443313760817622,0.756901974443144,0.5996424053205637,0.7725535613161634,0.6307020151138552,0.9863743204782643,0.5989889133120474,0.7687775190978154
stderr,0.004344497162049866,0.0011732369841335735,0.00358365253429273,0.001124537273131333
