Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
0,0.6030285141192059,0.6316945413711549,0.5806314119283987,0.6033665914743759,0.26085992793808255,0.7910635717619271,0.5821147747031253,0.6007861835712227
0,0.5024723473976305,0.5024244315315225,0.5009471442372123,0.5009399231455643,0.5511628332063976,0.7969286835859094,0.5,0.4968305122472878
1,0.5116998878381604,0.5117069769033438,0.5026963376502674,0.5026993208955567,0.5724913273450251,0.8078802562016694,0.5014188001331183,0.49824989512595347
0,0.390921479290019,0.6510649556796608,0.32541933710220106,0.6298320513291877,0.32515442720742654,0.8213313399730442,0.32501675935145585,0.6271873994032471
0,0.8150517116722805,0.8306840649292,0.739152986897507,0.7578287944811939,0.6478476272064506,0.9067603727177145,0.7389815906950948,0.7552022392176112

mean,0.5646347880634592,0.6255149940829764,0.5297694435631173,0.5989333362651756,0.4715032285806765,0.8247928448480529,0.5295063849765589,0.5956512459130645
stderr,0.009035977544790099,0.006340494748020799,0.008027578138156298,0.004032600633674645
