Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
0,0.9484239632721249,0.9477768460447535,0.9078336107425122,0.9083991613034258,0.9188455807250888,0.9547253807271386,0.9041699758077555,0.9005416625687631
0,0.9489636236686867,0.9487510367335646,0.9137819872218131,0.9143888376636353,0.910589188430781,0.9540258515011778,0.9109800751335851,0.9073442393015078
1,0.9427346714260325,0.9428036821729429,0.9089565893300172,0.9099505556299884,0.9014908208169108,0.9477853556159112,0.9067807918029201,0.9033531844067485
1,0.9461302523979773,0.9463081815770333,0.9116146746770841,0.9131972662256165,0.9206673357523295,0.9601647904255541,0.9072888291980676,0.9044924253935105
1,0.9488795304739723,0.947771045920538,0.9127228001918953,0.9125399466195184,0.9194162296959735,0.9589345065079441,0.9100272294468091,0.9053876155631624

mean,0.9470264082477587,0.9466821584897664,0.9109819324326643,0.9116951534884368,0.9142018310842166,0.9551271769555452,0.9078493802778276,0.9042238254467385
stderr,2.5367856574977267e-06,1.954029247665681e-06,2.2615801064897046e-06,2.1585335472292224e-06
