Using 7-day snapshots
epoch,V-AUC,V-AP,T-AUC,T-AP,TTE-AUC,TTE-AP,TUE-AUC,TUE-AP
14,0.8402215258974584,0.8423736003946821,0.9721494824238571,0.9722510119405364,0.7142857142857143,0.6507936507936507,0.9721833197496544,0.9722414822084151
15,0.8402180321425452,0.8423610299701567,0.9725730982954263,0.9727977692312543,0.7142857142857143,0.8285714285714285,0.9725661170373947,0.9727658809110389
4,0.840054371560835,0.8423269932533912,0.9724537091999494,0.9727286441608148,0.7142857142857143,0.6638655462184873,0.972482526618329,0.9727163433977974
0,0.8392710062014149,0.8422632675626188,0.9723297053856258,0.9727525172491438,0.7142857142857143,0.6103896103896104,0.9723838677896759,0.9727548226359731
11,0.8402827757882784,0.8423483374820123,0.9723474940736286,0.9727890687217198,0.7142857142857143,0.5885714285714285,0.9724184162882484,0.9728008215328641

mean,0.8400095423181064,0.8423346457325722,0.9723706978756974,0.9726638022606938,0.7142857142857143,0.6684383329089211,0.9724068494966606,0.9726558701372177
stderr,6.354966287629414e-08,6.756915581520687e-10,8.855892366637264e-09,1.932942175607549e-08
